time;true_x_rob0; true_y_rob0; true_heading_rob0;true_x_rob1; true_y_rob1; true_heading_rob1;true_x_rob2; true_y_rob2; true_heading_rob2;true_x_rob3; true_y_rob3; true_heading_rob3;true_x_rob4; true_y_rob4; true_heading_rob4
2;-1.82052; 0.0174417; -1.6702;-1.85577; 0.115291; 2.2501;-1.86437; -0.0928481; -2.97595;-1.812; 0.234546; -2.35273;-1.82627; -0.217974; -2.32094
2.016;-1.81893; 0.0176004; -1.66992;-1.85619; 0.115604; 2.19602;-1.86429; -0.0922899; -3.0118;-1.8117; 0.234847; -2.37364;-1.82592; -0.21763; -2.35121
2.032;-1.81734; 0.0177586; -1.66964;-1.85661; 0.115893; 2.14207;-1.86423; -0.0917289; -3.04768;-1.81142; 0.235154; -2.39455;-1.82557; -0.217276; -2.38148
2.048;-1.81574; 0.0179165; -1.66943;-1.85715; 0.116221; 2.09192;-1.86419; -0.0912074; -3.08237;-1.81115; 0.235451; -2.41705;-1.82523; -0.216902; -2.41151
2.064;-1.81415; 0.0180741; -1.66921;-1.85771; 0.116559; 2.04136;-1.86416; -0.0906847; -3.11709;-1.81089; 0.235753; -2.43955;-1.8249; -0.216518; -2.44154
2.08;-1.81256; 0.0182314; -1.669;-1.85828; 0.116875; 1.9915;-1.86416; -0.0901614; 3.13137;-1.81063; 0.236061; -2.46205;-1.82458; -0.216124; -2.47156
2.096;-1.81096; 0.0183883; -1.66879;-1.85884; 0.117174; 1.94298;-1.86417; -0.0896381; 3.09663;-1.81038; 0.236375; -2.48455;-1.82427; -0.21572; -2.50158
2.112;-1.80937; 0.0185451; -1.6689;-1.85942; 0.117464; 1.89931;-1.8642; -0.0891273; 3.06486;-1.81016; 0.236665; -2.50943;-1.82398; -0.215311; -2.5311
2.128;-1.80777; 0.0187022; -1.66901;-1.86003; 0.117708; 1.85685;-1.86425; -0.0886214; 3.03326;-1.80995; 0.236961; -2.53431;-1.82369; -0.214894; -2.56061
2.144;-1.80617; 0.0188595; -1.66912;-1.86069; 0.117908; 1.8158;-1.86431; -0.0881126; 3.00171;-1.80975; 0.237262; -2.55918;-1.82342; -0.214468; -2.59011
2.16;-1.80457; 0.019017; -1.66923;-1.86139; 0.11807; 1.7759;-1.86439; -0.0876017; 2.97017;-1.80955; 0.237568; -2.58406;-1.82316; -0.214035; -2.61961
2.176;-1.80298; 0.0191745; -1.66905;-1.8621; 0.118206; 1.73919;-1.86448; -0.0871048; 2.9431;-1.80938; 0.237846; -2.61349;-1.82292; -0.213617; -2.64911
